66.249.64.136 bot - "2016-12-19 10:56:58" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
5.9.24.145 - - "2016-12-19 11:15:00" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; SearchmetricsBot; http://www.searchmetrics.com/en/searchmetrics-bot/)"
66.249.64.141 bot - "2016-12-19 11:37:48" http://enginy.uib.es/index.php/enginy/article/download/80/59 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.146 bot - "2016-12-19 11:47:57" http://enginy.uib.es/index.php/enginy/article/download/78/57 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
141.8.184.6 bot - "2016-12-19 12:06:32" http://enginy.uib.es/index.php/enginy/article/view/9 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.64.141 bot - "2016-12-19 12:13:26" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
198.27.80.144 - - "2016-12-19 12:19:56" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
198.27.80.144 - - "2016-12-19 12:20:13" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
198.27.80.144 - - "2016-12-19 12:20:39" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
198.27.80.144 - - "2016-12-19 12:20:42" http://enginy.uib.es/index.php/enginy/issue/view/5 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
198.27.80.144 - - "2016-12-19 12:20:44" http://enginy.uib.es/index.php/enginy/issue/view/6 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
198.27.80.144 - - "2016-12-19 12:20:47" http://enginy.uib.es/index.php/enginy/issue/view/7 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
198.27.80.144 - - "2016-12-19 12:20:49" http://enginy.uib.es/index.php/enginy/issue/view/8 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
141.8.184.6 bot - "2016-12-19 12:25:38" http://enginy.uib.es/index.php/enginy/article/view/96 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
198.27.80.144 - - "2016-12-19 12:27:47" http://enginy.uib.es/index.php/Eduhisedu/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
