66.249.76.60 bot - "2016-11-27 06:18:32" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.60 bot - "2016-11-27 06:18:37" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/334 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.61 bot - "2016-11-27 06:19:19" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.61 bot - "2016-11-27 06:22:16" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.57 bot - "2016-11-27 06:28:12" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.61 bot - "2016-11-27 06:29:20" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.141 bot - "2016-11-27 06:31:55" http://enginy.uib.es/index.php/enginy/article/download/54/36 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.60 bot - "2016-11-27 06:32:16" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 06:36:29" http://enginy.uib.es/index.php/enginy/article/download/19/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.61 bot - "2016-11-27 06:38:04" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.62 bot - "2016-11-27 06:39:57" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 06:41:48" http://enginy.uib.es/index.php/enginy/article/download/88/81 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.57 bot - "2016-11-27 06:43:52" http://edicions.uib.cat/ojs/index.php/enginy/article/view/75 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 06:56:09" http://enginy.uib.es/index.php/enginy/article/view/7 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.141 bot - "2016-11-27 07:02:43" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.141 bot - "2016-11-27 07:05:42" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 07:05:58" http://enginy.uib.es/index.php/enginy/article/download/77/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.34 bot - "2016-11-27 07:06:21" http://enginy.uib.es/index.php/enginy/article/download/82/61 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.76.60 bot - "2016-11-27 07:06:43" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 07:07:59" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 07:08:09" http://enginy.uib.es/index.php/Materialidades/article/view/336 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 07:08:28" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.136 bot - "2016-11-27 07:09:39" http://enginy.uib.es/index.php/enginy/article/download/50/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
