136.243.155.93 bot - "2017-01-06 05:50:54" http://enginy.uib.es/index.php/enginy/article/view/45 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:51:03" http://enginy.uib.es/index.php/enginy/article/view/88 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:51:14" http://enginy.uib.es/index.php/enginy/article/view/150 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
66.249.73.29 bot - "2017-01-06 06:15:09" http://enginy.uib.es/index.php/enginy/article/download/92/115 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.26 bot - "2017-01-06 06:16:02" http://enginy.uib.es/index.php/enginy/article/download/63/46 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.185 bot - "2017-01-06 06:16:27" http://edicions.uib.cat/ojs/index.php/enginy/article/view/73 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.187 bot - "2017-01-06 06:16:45" http://edicions.uib.cat/ojs/index.php/enginy/article/download/58/40 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.185 bot - "2017-01-06 06:17:19" http://edicions.uib.cat/ojs/index.php/enginy/article/download/23/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.185 bot - "2017-01-06 06:17:31" http://edicions.uib.cat/ojs/index.php/enginy/article/download/18/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.185 bot - "2017-01-06 06:17:37" http://edicions.uib.cat/ojs/index.php/enginy/article/view/84 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.189 bot - "2017-01-06 06:17:54" http://edicions.uib.cat/ojs/index.php/enginy/article/view/150 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.185 bot - "2017-01-06 06:18:29" http://edicions.uib.cat/ojs/index.php/enginy/article/download/56/38 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
