66.249.64.81 bot - "2014-06-12 07:06:22" http://edicions.uib.es/ojs/index.php/enginy/article/view/88 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
148.251.75.46 - - "2014-06-12 07:07:02" http://enginy.uib.es/index.php/enginy/article/download/61/44 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
66.249.64.81 bot - "2014-06-12 07:12:20" http://edicions.uib.es/ojs/index.php/enginy/article/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:16:48" http://edicions.uib.es/ojs/index.php/enginy/article/view/49 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:18:27" http://edicions.uib.es/ojs/index.php/enginy/article/view/55 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:18:46" http://edicions.uib.es/ojs/index.php/enginy/article/view/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:18:57" http://edicions.uib.es/ojs/index.php/enginy/article/view/70 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-12 07:19:05" http://edicions.uib.es/ojs/index.php/enginy/article/view/98 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-12 07:19:33" http://edicions.uib.es/ojs/index.php/enginy/article/view/48 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.170 bot - "2014-06-12 07:20:16" http://edicions.uib.es/ojs/index.php/enginy/article/view/91 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:20:47" http://edicions.uib.es/ojs/index.php/enginy/article/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:20:59" http://edicions.uib.es/ojs/index.php/enginy/article/view/47 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-12 07:21:26" http://edicions.uib.es/ojs/index.php/enginy/article/view/42 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
