195.76.181.177 - - "2017-03-18 00:00:04" http://edicions.uib.cat/ojs/index.php/CIRUGIA/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:51.0) Gecko/20100101 Firefox/51.0"
136.243.103.153 bot - "2017-03-18 00:50:58" http://enginy.uib.es/index.php/enginy/article/download/46/28 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:02" http://enginy.uib.es/index.php/enginy/article/view/55 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:11" http://enginy.uib.es/index.php/enginy/article/view/9 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:24" http://enginy.uib.es/index.php/enginy/article/download/9/71 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:29" http://enginy.uib.es/index.php/enginy/article/view/31 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:41" http://enginy.uib.es/index.php/enginy/article/download/31/15 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:44" http://enginy.uib.es/index.php/enginy/article/view/57 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:51:57" http://enginy.uib.es/index.php/enginy/article/download/57/39 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:52:01" http://enginy.uib.es/index.php/enginy/article/view/146 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:52:13" http://enginy.uib.es/index.php/enginy/article/download/146/122 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:52:17" http://enginy.uib.es/index.php/enginy/article/view/48 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:52:28" http://enginy.uib.es/index.php/enginy/article/download/58/40 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:52:32" http://enginy.uib.es/index.php/enginy/article/view/26 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
