66.249.66.13 bot - "2016-02-19 03:46:51" http://edicions.uib.cat/ojs/index.php/enginy/article/download/150/126 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:47:37" http://enginy.uib.es/index.php/Materialidades/article/view/123 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.87 bot - "2016-02-19 03:52:07" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.87 bot - "2016-02-19 03:55:23" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:56:16" http://enginy.uib.es/index.php/enginy/article/view/33 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:56:23" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:57:28" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:58:17" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:58:25" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 03:58:33" http://enginy.uib.es/index.php/enginy/article/download/57/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:00:56" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:01:00" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:01:51" http://edicions.uib.cat/ojs/index.php/enginy/article/download/65/48 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.188 bot - "2016-02-19 04:02:50" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.188 bot - "2016-02-19 04:02:53" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:03:34" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.188 bot - "2016-02-19 04:03:46" http://enginy.uib.es/index.php/Materialidades/article/view/158 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:04:02" http://enginy.uib.es/index.php/enginy/article/download/91/110 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.188 bot - "2016-02-19 04:04:14" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:04:38" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.13 bot - "2016-02-19 04:06:04" http://edicions.uib.cat/ojs/index.php/enginy/article/download/42/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:06:19" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.188 bot - "2016-02-19 04:06:35" http://enginy.uib.es/index.php/enginy/article/download/27/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:07:26" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.10 bot - "2016-02-19 04:08:04" http://edicions.uib.cat/ojs/index.php/enginy/article/download/42/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:08:12" http://enginy.uib.es/index.php/enginy/article/view/81 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:08:44" http://enginy.uib.es/index.php/Materialidades/article/view/133 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:08:54" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:09:59" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:10:13" http://enginy.uib.es/index.php/enginy/article/view/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:10:43" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:12:26" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:13:24" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:14:07" http://edicions.uib.cat/ojs/index.php/enginy/article/download/35/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.10 bot - "2016-02-19 04:16:48" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/337/349 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.87 bot - "2016-02-19 04:17:02" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:17:35" http://edicions.uib.cat/ojs/index.php/enginy/article/download/59/41 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:18:22" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:18:24" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:18:34" http://enginy.uib.es/index.php/enginy/article/download/89/82 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.13 bot - "2016-02-19 04:19:07" http://edicions.uib.cat/ojs/index.php/enginy/article/download/19/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:19:34" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:19:55" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:20:09" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:20:22" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:21:14" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:21:51" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:22:08" http://enginy.uib.es/index.php/enginy/article/download/142/118 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.13 bot - "2016-02-19 04:22:25" http://edicions.uib.cat/ojs/index.php/enginy/article/download/58/40 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:22:58" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.10 bot - "2016-02-19 04:25:21" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.10 bot - "2016-02-19 04:25:32" http://edicions.uib.cat/ojs/index.php/enginy/article/download/55/37 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:27:27" http://edicions.uib.cat/ojs/index.php/enginy/article/download/30/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:27:30" http://edicions.uib.cat/ojs/index.php/enginy/article/download/36/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.193 bot - "2016-02-19 04:27:46" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:28:27" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:29:07" http://edicions.uib.cat/ojs/index.php/enginy/article/download/61/44 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:29:15" http://edicions.uib.cat/ojs/index.php/enginy/article/download/78/57 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.87 bot - "2016-02-19 04:30:10" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:31:59" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
