46.229.168.73 - - "2018-03-09 02:43:38" http://edicions.uib.cat/ojs/index.php/enginy/article/view/32 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.70 - - "2018-03-09 02:43:43" http://edicions.uib.cat/ojs/index.php/enginy/article/view/56 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.73 - - "2018-03-09 02:44:01" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/134 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:44:06" http://edicions.uib.cat/ojs/index.php/enginy/article/view/96 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:44:09" http://edicions.uib.cat/ojs/index.php/enginy/article/view/96 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:45:47" http://edicions.uib.cat/ojs/index.php/enginy/article/view/21 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:45:47" http://edicions.uib.cat/ojs/index.php/enginy/article/view/21 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.77 - - "2018-03-09 02:45:57" http://edicions.uib.cat/ojs/index.php/enginy/article/view/79 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.77 - - "2018-03-09 02:46:23" http://edicions.uib.cat/ojs/index.php/enginy/article/view/79 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 02:46:27" http://edicions.uib.cat/ojs/index.php/enginy/article/view/91 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.77 - - "2018-03-09 02:46:49" http://edicions.uib.cat/ojs/index.php/enginy/article/view/79 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.71 - - "2018-03-09 02:47:49" http://edicions.uib.cat/ojs/index.php/enginy/article/view/9 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
180.76.15.18 bot - "2018-03-09 02:47:52" http://edicions.uib.cat/ojs/index.php/Curs_OJS/article/view/120 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
46.229.168.68 - - "2018-03-09 02:48:38" http://edicions.uib.cat/ojs/index.php/enginy/article/download/60/43 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.71 - - "2018-03-09 02:49:12" http://edicions.uib.cat/ojs/index.php/enginy/article/view/9 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:49:23" http://edicions.uib.cat/ojs/index.php/enginy/article/view/8 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:49:38" http://edicions.uib.cat/ojs/index.php/enginy/article/view/8 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:50:42" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/337 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.67 - - "2018-03-09 02:50:50" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/337 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
