10.170.134.141 - - "2014-06-20 17:37:32" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:37:37" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:37:40" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:37:41" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:38:11" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:42:28" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:42:35" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:42:40" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:42:45" http://enginy.uib.es/index.php/enginy/article/view/101 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
10.170.134.141 - - "2014-06-20 17:42:48" http://enginy.uib.es/index.php/enginy/article/download/101/117 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
